#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-9.19538,1,3.666051
-52.14684,1,3.666051
-57.17312,1,3.666051
-51.931319,1,3.666051
-15.62995,1,3.676347
-20.511028,1,3.676347
-54.273678,1,3.678363
-30.879874,1,3.680374
-6.284986,1,3.680374
-28.79465,1,3.682384
-26.957641,1,3.684393
-43.059761,1,3.684393
-17.643436,1,3.686402
-27.930808,1,3.688413
-58.366004,1,3.688413
-38.238431,1,3.690421
-12.633231,1,3.69243
-52.483267,1,3.69243
-9.254894,1,3.694438
-40.639928,1,3.696445
-11.323807,1,3.696445
-43.315338,1,3.698457
-32.369302,1,3.700466
-58.422143,1,3.700466
-41.603027,1,3.702474
-47.48989,1,3.704481
-73.784199,1,3.706489
-58.823788,1,3.706489
-46.225201,1,3.708498
-8.543361,1,3.710508
-29.650872,1,3.710508
-29.781664,1,3.710508
-7.885395,1,3.710508
-50.037514,1,3.710508
-19.503434,1,3.719604
-8.451726,1,3.719604
-54.531674,1,3.719604
-44.306466,1,3.719604
-52.41808,1,3.719604
-43.106254,1,3.719604
-44.464187,1,3.72805
-13.900811,1,3.730107
-23.284406,1,3.731107
-11.914904,1,3.732107
-56.173273,1,3.734097
-31.686361,1,3.735114
-38.462617,1,3.737395
-24.372814,1,3.739404
-46.825198,1,3.741413
-16.087704,1,3.742579
-50.317236,1,3.742579
-19.150678,1,3.742579
-37.447108,1,3.742579
-38.966343,1,3.750768
-27.746867,1,3.752773
-51.32295,1,3.755765
-43.943902,1,3.757719
-70.545234,1,3.760986
-42.259115,1,3.763985
-39.103378,1,3.766066
-22.928705,1,3.768077
-26.813621,1,3.772095
-57.947902,1,3.774355
-13.690495,1,3.775214
-50.155251,1,3.777225
-37.843226,1,3.77924
100.0,1,3.77924
-59.82569,1,3.77924
-42.944627,1,3.784441
100.0,1,3.785135
-41.458112,1,3.785135
-7.738051,1,3.785135
-71.781663,1,3.785135
-50.274517,1,3.785135
-53.430194,1,3.785135
-36.317104,1,3.785135
-17.514105,1,3.795395
-31.9999,1,3.795395
-37.666971,1,3.797412
-30.91151,1,3.799429
-30.933805,1,3.799429
-36.046497,1,3.799429
-48.257691,1,3.799429
-57.606927,1,3.805227
-5.494091,1,3.805227
-10.863311,1,3.805227
-42.94929,1,3.805227
100.0,1,3.805227
-36.425723,1,3.805227
-7.34889,1,3.805227
-47.225372,1,3.805227
-37.37337,1,3.815721
-48.555405,1,3.815721
-32.967453,1,3.817739
-23.381737,1,3.81975
-37.329227,1,3.81975
-38.817584,1,3.821759
-31.9801,1,3.823767
-43.881766,1,3.823767
-29.7605,1,3.825776
-42.215789,1,3.825776
-58.213332,1,3.825776
-45.609639,1,3.837776
-8.248714,1,3.838955
-5.720661,1,3.839999
